20:39:39:396 [ALWAYS]	GUDE Logging Started
20:39:39:396 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:39:39:396 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:39:39:396 [ERROR]	Initialize resume cache pointer failure
20:39:39:396 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
20:39:39:396 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
20:39:40:820 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
20:39:40:820 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:39:40:820 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:39:40:820 [ERROR]	Initialize resume cache pointer failure
20:39:40:820 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
20:39:40:820 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
